央视,#genre#
动漫星空,http://192.168.0.101:35455/rptv/GITV-JS-25.m3u8?license=gitv
楚乔传,http://192.168.0.101:35455/rptv/GITV-JS-26.m3u8?license=gitv
完美的她,http://192.168.0.101:35455/rptv/GITV-JS-27.m3u8?license=gitv
哈尔滨一九四四,http://192.168.0.101:35455/rptv/GITV-JS-28.m3u8?license=gitv
军事之旅,http://192.168.0.101:35455/rptv/GITV-JS-29.m3u8?license=gitv
科幻世界,http://192.168.0.101:35455/rptv/GITV-JS-30.m3u8?license=gitv
儿童天地,http://192.168.0.101:35455/rptv/GITV-JS-31.m3u8?license=gitv
纪录片,http://192.168.0.101:35455/rptv/GITV-JS-32.m3u8?license=gitv
音乐心情,http://192.168.0.101:35455/rptv/GITV-JS-33.m3u8?license=gitv
掼蛋频道,http://192.168.0.101:35455/rptv/GITV-JS-34.m3u8?license=gitv
体坛同期声,http://192.168.0.101:35455/rptv/GITV-JS-35.m3u8?license=gitv
臻享推荐,http://192.168.0.101:35455/rptv/GITV-JS-36.m3u8?license=gitv
南来北往,http://192.168.0.101:35455/rptv/GITV-JS-39.m3u8?license=gitv
狗剩快跑,http://192.168.0.101:35455/rptv/GITV-JS-40.m3u8?license=gitv
狂飙,http://192.168.0.101:35455/rptv/GITV-JS-41.m3u8?license=gitv
人世间,http://192.168.0.101:35455/rptv/GITV-JS-42.m3u8?license=gitv
大江大河,http://192.168.0.101:35455/rptv/GITV-JS-43.m3u8?license=gitv
山海情,http://192.168.0.101:35455/rptv/GITV-JS-44.m3u8?license=gitv
冰雪竞技场,http://192.168.0.101:35455/rptv/GITV-JS-45.m3u8?license=gitv
邪恶与疯狂,http://192.168.0.101:35455/rptv/GITV-JS-46.m3u8?license=gitv
来自星星的你,http://192.168.0.101:35455/rptv/GITV-JS-47.m3u8?license=gitv
哦我的鬼神大人,http://192.168.0.101:35455/rptv/GITV-JS-48.m3u8?license=gitv
太阳的后裔,http://192.168.0.101:35455/rptv/GITV-JS-49.m3u8?license=gitv
请回答1988,http://192.168.0.101:35455/rptv/GITV-JS-50.m3u8?license=gitv

猎冰,http://192.168.0.101:35455/rptv/cos-liebing.m3u8?license=gitv
永安梦,http://192.168.0.101:35455/rptv/cos-yonganmeng.m3u8?license=gitv
漫长的季节,http://192.168.0.101:35455/rptv/manchangdjj.m3u8?license=gitv
梦中的那片海,http://192.168.0.101:35455/rptv/mengzhongdnph.m3u8?license=gitv
繁花,http://192.168.0.101:35455/rptv/fanhua.m3u8?license=gitv
庆余年,http://192.168.0.101:35455/rptv/zhifouzf.m3u8?license=gitv
百姓生活,http://192.168.0.101:35455/rptv/baixingsh.m3u8?license=gitv
黑土无言,http://192.168.0.101:35455/rptv/COSHD-4000k-1080P-htwy.m3u8?license=gitv
问心,http://192.168.0.101:35455/rptv/COSHD-4000k-1080P-wenxin.m3u8?license=gitv
